,"(deg C) SST (Sea Surface Temperature) (NOAA OISST) at Peru, 2014-01-01 to 2023-07-31"
"2014-01-01",20.4245
"2014-01-02",20.655
"2014-01-03",20.6832
"2014-01-04",20.781
"2014-01-05",20.8283
"2014-01-06",20.8142
"2014-01-07",20.9787
"2014-01-08",21.1849
"2014-01-09",21.3128
"2014-01-10",21.3056
"2014-01-11",21.3178
"2014-01-12",21.5425
"2014-01-13",21.618
"2014-01-14",21.7054
"2014-01-15",21.8799
"2014-01-16",22.2499
"2014-01-17",22.474
"2014-01-18",22.5259
"2014-01-19",22.4844
"2014-01-20",22.3279
"2014-01-21",22.2231
"2014-01-22",22.2502
"2014-01-23",22.5112
"2014-01-24",22.4571
"2014-01-25",22.1212
"2014-01-26",21.6488
"2014-01-27",21.5195
"2014-01-28",21.2432
"2014-01-29",21.0586
"2014-01-30",21.1302
"2014-01-31",20.9768
"2014-02-01",20.5393
"2014-02-02",20.4191
"2014-02-03",20.5958
"2014-02-04",20.6931
"2014-02-05",20.411
"2014-02-06",20.014
"2014-02-07",19.9631
"2014-02-08",19.9443
"2014-02-09",20.1723
"2014-02-10",19.9604
"2014-02-11",19.7817
"2014-02-12",19.8417
"2014-02-13",19.9111
"2014-02-14",20.0509
"2014-02-15",20.0186
"2014-02-16",19.9482
"2014-02-17",19.9536
"2014-02-18",20.2116
"2014-02-19",20.1848
"2014-02-20",19.9188
"2014-02-21",19.7824
"2014-02-22",19.8539
"2014-02-23",20.1766
"2014-02-24",20.3452
"2014-02-25",20.4768
"2014-02-26",20.5701
"2014-02-27",20.8247
"2014-02-28",21.1743
"2014-03-01",21.2836
"2014-03-02",21.0997
"2014-03-03",20.6635
"2014-03-04",20.5312
"2014-03-05",20.4505
"2014-03-06",20.2652
"2014-03-07",19.957
"2014-03-08",19.9632
"2014-03-09",20.3611
"2014-03-10",20.7649
"2014-03-11",20.6757
"2014-03-12",20.3571
"2014-03-13",20.1618
"2014-03-14",19.7231
"2014-03-15",19.523
"2014-03-16",19.1818
"2014-03-17",19.2396
"2014-03-18",19.6034
"2014-03-19",19.8466
"2014-03-20",19.708
"2014-03-21",19.7519
"2014-03-22",19.7068
"2014-03-23",19.7859
"2014-03-24",19.7401
"2014-03-25",19.7174
"2014-03-26",19.5867
"2014-03-27",19.7267
"2014-03-28",19.9108
"2014-03-29",19.7449
"2014-03-30",19.6292
"2014-03-31",19.536
