,"(deg C) Minimum Temperature (ERA5), Peru ,2014-01-01 to 2023-07-31","(deg C) Maximum Temperature (ERA5), Peru ,2014-01-01 to 2023-07-31"
"2014-01-01",15.9224,23.7535
"2014-01-02",15.613,24.43
"2014-01-03",15.989,24.1155
"2014-01-04",16.8189,22.5301
"2014-01-05",16.3597,22.3466
"2014-01-06",16.5971,23.4786
"2014-01-07",16.0291,22.7202
"2014-01-08",16.2097,22.5173
"2014-01-09",16.0078,22.7498
"2014-01-10",15.8745,23.1528
"2014-01-11",16.2026,23.4353
"2014-01-12",16.1617,23.7401
"2014-01-13",16.0698,23.2659
"2014-01-14",16.402,24.1524
"2014-01-15",16.6082,23.9619
"2014-01-16",16.1837,23.4401
"2014-01-17",16.5023,22.8533
"2014-01-18",16.206,23.4991
"2014-01-19",16.0232,23.4453
"2014-01-20",16.2079,23.7153
"2014-01-21",16.1393,25.1496
"2014-01-22",16.1977,24.6327
"2014-01-23",16.6879,23.216
"2014-01-24",16.1869,24.936
"2014-01-25",16.1379,25.1305
"2014-01-26",15.6403,24.3538
"2014-01-27",15.5398,23.1551
"2014-01-28",15.3336,24.0807
"2014-01-29",15.4933,24.1154
"2014-01-30",16.0571,23.5337
"2014-01-31",16.2421,22.9878
"2014-02-01",16.1873,22.846
"2014-02-02",15.7763,23.6422
"2014-02-03",15.8569,24.4394
"2014-02-04",15.4768,24.009
"2014-02-05",15.2804,21.9408
"2014-02-06",15.3533,23.1529
"2014-02-07",15.3214,23.6746
"2014-02-08",16.0497,23.125
"2014-02-09",15.9144,23.5586
"2014-02-10",15.9631,23.3155
"2014-02-11",16.0485,23.6362
"2014-02-12",16.101,23.4581
"2014-02-13",15.8882,23.8756
"2014-02-14",15.8871,23.6849
"2014-02-15",15.9427,22.9672
"2014-02-16",15.8399,23.3753
"2014-02-17",15.8031,24.4425
"2014-02-18",16.2047,24.418
"2014-02-19",16.0467,24.881
"2014-02-20",16.3176,24.2673
"2014-02-21",16.4361,23.8031
"2014-02-22",16.0109,23.6574
"2014-02-23",16.4587,23.5792
"2014-02-24",16.1958,22.7685
"2014-02-25",16.2185,24.1368
"2014-02-26",16.2019,24.6154
"2014-02-27",16.1267,24.7169
"2014-02-28",16.1856,24.6095
"2014-03-01",16.0678,23.9054
"2014-03-02",16.431,25.2078
"2014-03-03",16.5224,24.1673
"2014-03-04",16.2563,23.21
"2014-03-05",15.9387,22.2398
"2014-03-06",15.7703,23.8285
"2014-03-07",15.9978,24.6208
"2014-03-08",16.2019,23.4746
"2014-03-09",15.7503,22.7234
"2014-03-10",15.7281,24.8821
"2014-03-11",15.7999,25.3596
"2014-03-12",16.4,23.0633
"2014-03-13",16.2533,22.6633
"2014-03-14",15.9546,23.9617
"2014-03-15",16.0315,24.5887
"2014-03-16",15.8653,22.6457
"2014-03-17",15.9243,23.542
"2014-03-18",16.302,22.6649
"2014-03-19",15.992,23.2595
"2014-03-20",15.7983,24.2188
"2014-03-21",15.8144,23.2615
"2014-03-22",16.1095,22.3159
"2014-03-23",15.9307,22.4494
"2014-03-24",15.7406,24.6746
"2014-03-25",16.1346,23.4636
"2014-03-26",16.1019,23.3548
"2014-03-27",15.9806,22.634
"2014-03-28",15.5597,24.2354
"2014-03-29",14.5283,24.7523
"2014-03-30",14.8328,25.0946
"2014-03-31",14.8614,24.2817
"2014-04-01",15.3133,23.7004
"2014-04-02",15.4509,23.6091
"2014-04-03",15.5598,23.4391
"2014-04-04",15.6585,24.2871
"2014-04-05",15.9936,23.2474
"2014-04-06",15.4078,24.5643
"2014-04-07",15.646,24.3949
"2014-04-08",15.7347,24.1937
"2014-04-09",15.5794,24.5803
"2014-04-10",15.5951,23.2739
"2014-04-11",15.1269,24.3419
"2014-04-12",15.0988,24.3469
"2014-04-13",15.8736,24.0312
"2014-04-14",15.5798,22.575
"2014-04-15",14.7132,22.99
"2014-04-16",14.7751,24.2544
"2014-04-17",14.9756,24.9296
"2014-04-18",15.6954,23.8997
"2014-04-19",15.5161,24.4673
"2014-04-20",15.4479,23.8873
"2014-04-21",15.263,23.9914
"2014-04-22",14.775,24.0554
"2014-04-23",15.2051,24.2853
"2014-04-24",15.706,22.575
"2014-04-25",15.4909,23.2731
"2014-04-26",15.2368,23.1903
"2014-04-27",14.8582,23.8967
"2014-04-28",14.8499,24.2346
"2014-04-29",15.4572,22.7078
"2014-04-30",15.5017,24.2869
"2014-05-01",15.1925,24.9539
"2014-05-02",15.131,25.0537
"2014-05-03",15.7611,22.9011
"2014-05-04",15.6564,24.342
"2014-05-05",15.4942,25.2652
"2014-05-06",15.115,25.0789
"2014-05-07",15.1262,23.7786
"2014-05-08",15.5413,22.2942
"2014-05-09",15.1067,23.6345
"2014-05-10",15.1552,23.5906
"2014-05-11",15.5773,23.2748
"2014-05-12",15.5018,22.6693
"2014-05-13",14.909,23.6036
"2014-05-14",15.0435,23.3938
"2014-05-15",15.6259,24.1346
"2014-05-16",15.4848,23.8019
"2014-05-17",15.124,23.3215
"2014-05-18",15.3703,23.6193
"2014-05-19",15.2305,24.0236
"2014-05-20",15.271,23.5532
"2014-05-21",15.0876,24.4131
"2014-05-22",15.9794,23.4598
"2014-05-23",15.5498,23.1456
"2014-05-24",13.5518,21.8918
"2014-05-25",12.4754,21.5811
"2014-05-26",14.021,22.3621
"2014-05-27",13.9881,23.0112
"2014-05-28",14.077,23.127
"2014-05-29",14.5964,24.2123
"2014-05-30",14.4148,24.8012
"2014-05-31",14.4694,24.9898
"2014-06-01",15.0087,23.7587
"2014-06-02",14.8802,23.9524
"2014-06-03",15.2877,24.2051
"2014-06-04",14.7282,24.7684
"2014-06-05",14.9168,25.1201
"2014-06-06",14.662,24.5187
"2014-06-07",14.7851,25.0883
"2014-06-08",14.5056,25.2242
"2014-06-09",14.867,24.731
"2014-06-10",15.6247,23.1454
"2014-06-11",14.7257,24.0806
"2014-06-12",14.5139,24.347
"2014-06-13",14.9462,23.8327
"2014-06-14",14.8604,23.1604
"2014-06-15",14.7046,22.387
"2014-06-16",14.3196,22.3672
"2014-06-17",14.4166,23.2393
"2014-06-18",13.412,23.4562
"2014-06-19",13.5269,22.8706
"2014-06-20",13.0408,23.0384
"2014-06-21",13.9327,23.8146
"2014-06-22",13.9753,23.9189
"2014-06-23",13.9007,24.1271
"2014-06-24",14.7084,24.4864
"2014-06-25",14.9109,23.2449
"2014-06-26",14.6241,23.9225
"2014-06-27",14.1422,24.4814
"2014-06-28",14.3267,23.3456
"2014-06-29",13.8555,21.4902
"2014-06-30",12.6544,21.9108
"2014-07-01",12.6327,22.2246
"2014-07-02",13.6195,23.5845
"2014-07-03",14.1017,23.8773
"2014-07-04",14.4325,23.0661
"2014-07-05",13.7968,23.881
"2014-07-06",13.8109,23.7594
"2014-07-07",14.0687,22.9536
"2014-07-08",14.1935,21.4897
"2014-07-09",14.1512,21.8992
"2014-07-10",13.4892,21.8012
"2014-07-11",12.7999,22.4181
"2014-07-12",12.5549,23.6238
"2014-07-13",12.6978,23.2922
"2014-07-14",12.8162,23.4758
"2014-07-15",12.7557,24.3966
"2014-07-16",13.4481,23.7581
"2014-07-17",13.2247,23.5419
"2014-07-18",13.4876,22.9668
"2014-07-19",14.1242,20.3936
"2014-07-20",13.3082,20.7993
"2014-07-21",12.8366,23.1786
"2014-07-22",12.0154,23.8038
"2014-07-23",12.6304,23.4867
"2014-07-24",13.2564,22.4604
"2014-07-25",13.5191,21.7262
"2014-07-26",12.2853,21.4192
"2014-07-27",12.7613,21.3765
"2014-07-28",13.2273,21.6587
"2014-07-29",12.2828,23.1974
"2014-07-30",13.2517,23.7807
"2014-07-31",12.9778,23.9984
"2014-08-01",12.9682,24.3841
"2014-08-02",13.4083,24.1069
"2014-08-03",12.96,24.2675
"2014-08-04",13.331,24.5969
"2014-08-05",13.9247,23.0485
"2014-08-06",13.4101,23.4837
"2014-08-07",13.8597,23.3498
"2014-08-08",14.3007,20.8017
"2014-08-09",14.1043,21.3933
"2014-08-10",13.4515,22.7783
"2014-08-11",13.5022,24.3569
"2014-08-12",13.6659,23.6469
"2014-08-13",13.8961,23.1812
"2014-08-14",13.1627,22.1805
"2014-08-15",13.4615,22.8023
"2014-08-16",12.4102,24.0304
"2014-08-17",12.7751,23.9873
"2014-08-18",13.2637,23.7638
"2014-08-19",13.6112,23.461
"2014-08-20",12.4141,24.3032
"2014-08-21",12.4838,24.2049
"2014-08-22",12.1445,25.1073
"2014-08-23",12.7402,25.0348
"2014-08-24",13.5739,24.1564
"2014-08-25",13.4502,25.0309
"2014-08-26",13.7833,23.9683
"2014-08-27",13.725,22.329
"2014-08-28",13.4447,22.7954
"2014-08-29",14.3723,22.4821
"2014-08-30",14.4509,23.2573
"2014-08-31",13.9235,24.0675
"2014-09-01",13.5908,25.1332
"2014-09-02",13.724,24.819
"2014-09-03",14.1533,24.6653
"2014-09-04",14.6714,23.0572
"2014-09-05",14.3135,21.5125
"2014-09-06",13.6194,23.9995
"2014-09-07",13.3884,25.2611
"2014-09-08",13.4529,25.2567
"2014-09-09",14.5846,24.2432
"2014-09-10",14.6185,25.3147
"2014-09-11",15.1211,23.6143
"2014-09-12",15.0546,22.5048
"2014-09-13",15.2534,23.8963
"2014-09-14",14.3487,23.9607
"2014-09-15",14.6902,23.2669
"2014-09-16",15.1186,23.5331
"2014-09-17",14.8417,24.2165
"2014-09-18",14.8719,23.9163
"2014-09-19",14.5348,23.8377
"2014-09-20",14.16,24.5744
"2014-09-21",15.0249,22.5986
"2014-09-22",15.0208,22.0725
"2014-09-23",14.4566,24.5148
"2014-09-24",15.3086,24.958
"2014-09-25",15.2418,25.184
"2014-09-26",15.2799,25.4542
"2014-09-27",15.4926,23.4965
"2014-09-28",15.2681,23.0993
"2014-09-29",14.8847,24.5321
"2014-09-30",14.7503,24.8451
"2014-10-01",14.7124,24.9661
"2014-10-02",14.8896,23.541
"2014-10-03",14.7915,22.1467
"2014-10-04",14.0536,23.9632
"2014-10-05",14.9454,24.4203
"2014-10-06",15.8467,24.0392
"2014-10-07",15.6385,23.0397
"2014-10-08",15.5992,23.1885
"2014-10-09",15.4398,24.2457
"2014-10-10",15.4708,25.3684
"2014-10-11",15.7414,23.4475
"2014-10-12",15.0001,23.7457
"2014-10-13",14.9314,24.6243
"2014-10-14",15.3527,25.0315
"2014-10-15",15.0761,24.2729
"2014-10-16",14.9465,23.6883
"2014-10-17",14.3014,25.7635
"2014-10-18",14.8308,26.4515
"2014-10-19",15.9925,24.5709
"2014-10-20",15.47,23.9172
"2014-10-21",15.2402,23.1367
"2014-10-22",15.132,24.0731
"2014-10-23",15.6661,24.6117
"2014-10-24",15.1744,25.9757
"2014-10-25",15.5733,23.5023
"2014-10-26",15.0878,25.0398
"2014-10-27",15.6545,25.5028
"2014-10-28",15.6682,24.9763
"2014-10-29",15.5957,24.7502
"2014-10-30",15.2036,25.2857
"2014-10-31",16.0482,23.8361
"2014-11-01",15.5962,23.8284
"2014-11-02",15.8953,23.261
"2014-11-03",15.5495,24.9266
"2014-11-04",15.1952,25.3364
"2014-11-05",16.4536,24.8056
"2014-11-06",15.8265,22.9118
"2014-11-07",15.9394,24.3831
"2014-11-08",15.6068,25.9091
"2014-11-09",16.068,25.9632
"2014-11-10",16.6254,23.0445
"2014-11-11",16.1005,24.7923
"2014-11-12",16.464,25.0097
"2014-11-13",16.2084,24.105
"2014-11-14",15.449,20.9135
"2014-11-15",14.8779,21.2938
"2014-11-16",14.925,23.1611
"2014-11-17",15.7559,24.1453
"2014-11-18",15.233,25.3724
"2014-11-19",14.9884,26.046
"2014-11-20",15.7295,25.1411
"2014-11-21",15.1131,24.2776
"2014-11-22",15.4646,24.3034
"2014-11-23",15.9634,23.9357
"2014-11-24",15.7981,24.4535
"2014-11-25",15.6801,25.0977
"2014-11-26",15.7149,24.3164
"2014-11-27",15.2865,24.8643
"2014-11-28",16.2027,23.8386
"2014-11-29",15.9762,23.9019
"2014-11-30",15.9531,24.8531
"2014-12-01",16.6485,24.9468
"2014-12-02",16.3884,25.179
"2014-12-03",16.1337,24.3791
"2014-12-04",16.0291,23.1464
"2014-12-05",16.2216,23.7925
"2014-12-06",16.0406,25.6925
"2014-12-07",16.2157,25.4896
"2014-12-08",16.3315,24.9428
"2014-12-09",15.9867,23.5476
"2014-12-10",15.8814,24.1928
"2014-12-11",15.9627,24.2332
"2014-12-12",16.0563,24.6182
"2014-12-13",15.8923,25.1762
"2014-12-14",16.1431,23.6883
"2014-12-15",16.2888,23.5636
"2014-12-16",16.0102,23.5048
"2014-12-17",16.4315,23.5032
"2014-12-18",15.8953,24.2326
"2014-12-19",15.4611,25.0117
"2014-12-20",15.9782,25.0861
"2014-12-21",15.435,24.7746
"2014-12-22",16.0776,23.8487
"2014-12-23",16.5636,22.8633
"2014-12-24",16.097,23.5284
"2014-12-25",16.4205,24.6906
"2014-12-26",16.6711,23.1781
"2014-12-27",16.3908,23.4061
"2014-12-28",16.5347,22.4184
"2014-12-29",16.1404,22.8043
"2014-12-30",16.0354,24.0022
"2014-12-31",16.1504,23.8272
"2015-01-01",16.1136,24.168
"2015-01-02",16.1675,23.5239
"2015-01-03",16.1023,22.8931
"2015-01-04",15.8756,21.7833
"2015-01-05",15.5992,22.0037
"2015-01-06",15.7362,23.3889
"2015-01-07",15.738,23.4995
"2015-01-08",15.6695,23.4419
"2015-01-09",16.0126,22.5612
"2015-01-10",16.1132,23.0677
"2015-01-11",15.8787,23.1781
"2015-01-12",15.7998,23.7439
"2015-01-13",15.5902,23.7038
"2015-01-14",15.3737,24.1349
"2015-01-15",15.2022,24.7006
"2015-01-16",15.6474,23.9488
"2015-01-17",15.149,24.7881
"2015-01-18",16.2644,22.7791
"2015-01-19",15.7883,23.9491
"2015-01-20",15.7648,22.6952
"2015-01-21",16.0471,22.1722
"2015-01-22",15.8079,22.2868
"2015-01-23",15.6443,23.2173
"2015-01-24",15.9866,24.2767
"2015-01-25",15.9876,24.0618
"2015-01-26",16.1948,23.1215
"2015-01-27",16.2381,22.6232
"2015-01-28",15.9961,22.9163
"2015-01-29",16.1822,23.7888
"2015-01-30",16.3425,22.4948
"2015-01-31",16.2439,22.8434
"2015-02-01",15.9827,22.5861
"2015-02-02",15.8465,23.9443
"2015-02-03",15.7616,24.4126
"2015-02-04",15.849,25.0876
"2015-02-05",16.237,25.0229
"2015-02-06",16.4676,25.0737
"2015-02-07",16.6186,24.9215
"2015-02-08",16.7609,22.8002
"2015-02-09",16.4868,23.3118
"2015-02-10",16.388,23.8322
"2015-02-11",16.3733,23.0984
"2015-02-12",16.1763,23.7048
"2015-02-13",16.7682,23.802
"2015-02-14",16.5596,23.046
"2015-02-15",16.7111,23.4272
"2015-02-16",16.5177,24.9872
"2015-02-17",16.6967,25.0304
"2015-02-18",16.6005,24.6145
"2015-02-19",16.343,25.6033
"2015-02-20",16.1688,24.1789
"2015-02-21",16.2311,22.9819
"2015-02-22",15.7569,23.4547
"2015-02-23",16.2034,24.3016
"2015-02-24",16.3276,22.7704
"2015-02-25",16.1033,23.0765
"2015-02-26",15.9377,23.6992
"2015-02-27",15.7633,24.1872
"2015-02-28",15.9027,23.776
"2015-03-01",16.1582,23.8648
"2015-03-02",16.3625,23.5732
"2015-03-03",16.2086,24.277
"2015-03-04",16.157,23.8221
"2015-03-05",16.3632,22.6779
"2015-03-06",16.4044,22.4099
"2015-03-07",16.0938,23.0179
"2015-03-08",16.1692,23.4347
"2015-03-09",16.287,24.5281
"2015-03-10",16.8845,24.2333
"2015-03-11",16.7972,24.5448
"2015-03-12",16.5432,24.2207
"2015-03-13",16.4238,25.1449
"2015-03-14",16.5374,24.2282
"2015-03-15",16.5681,23.4044
"2015-03-16",16.949,23.7016
"2015-03-17",16.4441,24.8342
"2015-03-18",16.9266,22.7233
"2015-03-19",16.3856,22.8959
"2015-03-20",16.2395,23.558
"2015-03-21",16.632,23.7733
"2015-03-22",16.2016,23.7814
"2015-03-23",15.8891,24.507
"2015-03-24",15.9981,24.4431
"2015-03-25",16.2179,23.9989
"2015-03-26",15.4811,24.2964
"2015-03-27",15.586,24.5438
"2015-03-28",15.667,22.7571
"2015-03-29",15.434,22.9208
"2015-03-30",15.7718,24.5099
"2015-03-31",15.7225,24.3947
"2015-04-01",16.2762,23.3062
"2015-04-02",15.846,23.0316
"2015-04-03",15.5012,24.8807
"2015-04-04",15.8659,25.105
"2015-04-05",16.3021,23.8779
"2015-04-06",16.2435,22.908
"2015-04-07",15.7333,22.9958
"2015-04-08",15.3209,24.4763
"2015-04-09",15.8743,23.4109
"2015-04-10",15.7561,22.6204
"2015-04-11",15.7965,22.3361
"2015-04-12",15.6877,23.7877
"2015-04-13",15.9743,24.5288
"2015-04-14",15.6682,24.2832
"2015-04-15",15.3675,24.2421
"2015-04-16",15.5937,24.4363
"2015-04-17",15.546,23.3388
"2015-04-18",15.8467,22.6843
"2015-04-19",15.7963,23.8655
"2015-04-20",15.857,24.6807
"2015-04-21",16.0772,22.7644
"2015-04-22",15.5265,23.4747
"2015-04-23",15.7758,23.1653
"2015-04-24",16.1969,23.9795
"2015-04-25",16.1414,23.0623
"2015-04-26",16.1465,23.4063
"2015-04-27",15.9737,24.6675
"2015-04-28",15.7817,23.3059
"2015-04-29",16.2445,22.2861
"2015-04-30",15.7933,23.6132
"2015-05-01",15.9787,23.6696
"2015-05-02",15.6142,25.13
"2015-05-03",15.7587,24.4401
"2015-05-04",15.7503,23.662
