,"(mm) Precipitation (ERA5) at Peru, 2014-01-01 to 2023-07-31"
"2014-01-01",12.7741
"2014-01-02",6.5437
"2014-01-03",9.3538
"2014-01-04",17.4176
"2014-01-05",13.3024
"2014-01-06",9.9326
"2014-01-07",10.7721
"2014-01-08",12.0766
"2014-01-09",12.046
"2014-01-10",10.0961
"2014-01-11",10.115
"2014-01-12",6.1822
"2014-01-13",8.5508
"2014-01-14",5.8835
"2014-01-15",7.7393
"2014-01-16",10.9418
"2014-01-17",12.8469
"2014-01-18",8.9011
"2014-01-19",7.9832
"2014-01-20",9.608
"2014-01-21",4.7205
"2014-01-22",6.7328
"2014-01-23",13.2725
"2014-01-24",5.2914
"2014-01-25",3.3419
"2014-01-26",12.2943
"2014-01-27",13.019
"2014-01-28",5.8522
"2014-01-29",8.7056
"2014-01-30",11.3915
"2014-01-31",12.7545
"2014-02-01",11.6745
"2014-02-02",5.6851
"2014-02-03",4.7907
"2014-02-04",11.3446
"2014-02-05",18.7221
"2014-02-06",9.313
"2014-02-07",7.5638
"2014-02-08",6.9829
"2014-02-09",10.2023
"2014-02-10",10.9942
"2014-02-11",9.1405
"2014-02-12",9.4755
"2014-02-13",9.6974
"2014-02-14",10.5746
"2014-02-15",10.8658
"2014-02-16",6.9308
"2014-02-17",4.8925
"2014-02-18",7.9267
"2014-02-19",8.2963
"2014-02-20",7.3992
"2014-02-21",11.8903
"2014-02-22",11.9443
"2014-02-23",10.5571
"2014-02-24",12.37
"2014-02-25",8.8948
"2014-02-26",8.5926
"2014-02-27",9.1506
"2014-02-28",8.1654
"2014-03-01",10.6156
"2014-03-02",5.739
"2014-03-03",10.1674
"2014-03-04",12.8531
"2014-03-05",13.8542
"2014-03-06",9.9221
"2014-03-07",6.4843
"2014-03-08",11.9148
"2014-03-09",10.4914
"2014-03-10",4.6072
"2014-03-11",6.1538
"2014-03-12",10.5842
"2014-03-13",14.5714
"2014-03-14",7.4163
"2014-03-15",5.6233
"2014-03-16",14.3222
"2014-03-17",10.6454
"2014-03-18",15.6551
"2014-03-19",8.5129
"2014-03-20",4.7538
"2014-03-21",10.8334
"2014-03-22",11.784
"2014-03-23",11.9843
"2014-03-24",5.084
"2014-03-25",9.0928
"2014-03-26",11.4468
"2014-03-27",10.908
"2014-03-28",3.6751
"2014-03-29",2.0294
"2014-03-30",5.0027
"2014-03-31",8.4335
"2014-04-01",6.6762
"2014-04-02",8.5308
"2014-04-03",7.4191
"2014-04-04",6.4995
"2014-04-05",6.9671
"2014-04-06",4.1971
"2014-04-07",6.6657
"2014-04-08",6.1088
"2014-04-09",5.3755
"2014-04-10",7.9218
"2014-04-11",3.8384
"2014-04-12",4.3102
"2014-04-13",6.0299
"2014-04-14",10.7968
"2014-04-15",4.2481
"2014-04-16",2.846
"2014-04-17",3.8277
"2014-04-18",6.011
"2014-04-19",4.3116
"2014-04-20",5.7481
"2014-04-21",5.6128
"2014-04-22",6.5438
"2014-04-23",6.9589
"2014-04-24",12.278
"2014-04-25",8.9705
"2014-04-26",7.8154
"2014-04-27",4.3923
"2014-04-28",4.9039
"2014-04-29",10.4227
"2014-04-30",3.2422
"2014-05-01",1.9466
"2014-05-02",5.6113
"2014-05-03",11.3658
"2014-05-04",4.9033
"2014-05-05",2.6534
"2014-05-06",5.225
"2014-05-07",8.8642
"2014-05-08",8.8156
"2014-05-09",5.3662
"2014-05-10",4.9965
"2014-05-11",6.0363
"2014-05-12",7.6929
"2014-05-13",3.3022
"2014-05-14",6.6754
"2014-05-15",6.1971
"2014-05-16",9.804
"2014-05-17",7.4736
"2014-05-18",5.9627
"2014-05-19",3.394
"2014-05-20",4.698
"2014-05-21",2.3567
"2014-05-22",3.9065
"2014-05-23",7.549
"2014-05-24",12.1594
"2014-05-25",5.6765
"2014-05-26",2.4681
"2014-05-27",1.9041
"2014-05-28",2.319
"2014-05-29",1.6035
"2014-05-30",0.9417
"2014-05-31",1.9257
"2014-06-01",5.0431
"2014-06-02",5.2673
"2014-06-03",2.4508
"2014-06-04",2.3448
"2014-06-05",2.9099
"2014-06-06",2.6834
"2014-06-07",0.7612
"2014-06-08",0.9662
"2014-06-09",2.6356
"2014-06-10",10.9388
"2014-06-11",2.0944
"2014-06-12",2.2372
"2014-06-13",5.0225
"2014-06-14",8.954
"2014-06-15",6.7148
"2014-06-16",3.8847
"2014-06-17",1.8224
"2014-06-18",0.8794
"2014-06-19",1.2258
"2014-06-20",1.1508
"2014-06-21",1.257
"2014-06-22",2.059
"2014-06-23",2.5351
"2014-06-24",2.9509
"2014-06-25",7.4624
"2014-06-26",2.5842
"2014-06-27",3.1197
"2014-06-28",5.0296
"2014-06-29",6.8483
"2014-06-30",1.9811
"2014-07-01",1.0069
"2014-07-02",1.335
"2014-07-03",2.2911
"2014-07-04",3.2429
"2014-07-05",3.2911
"2014-07-06",3.8289
"2014-07-07",6.9282
"2014-07-08",7.7986
"2014-07-09",4.5269
"2014-07-10",1.7672
"2014-07-11",1.2981
"2014-07-12",0.7945
"2014-07-13",2.701
"2014-07-14",2.5311
"2014-07-15",1.0708
"2014-07-16",1.7308
"2014-07-17",3.1891
"2014-07-18",3.8271
"2014-07-19",8.3544
"2014-07-20",5.4533
"2014-07-21",1.174
"2014-07-22",0.9274
"2014-07-23",2.2227
"2014-07-24",3.7793
"2014-07-25",5.9514
"2014-07-26",3.2896
"2014-07-27",3.928
"2014-07-28",3.9844
"2014-07-29",1.8539
"2014-07-30",1.8084
"2014-07-31",2.1058
"2014-08-01",0.9039
"2014-08-02",1.8295
"2014-08-03",1.0938
"2014-08-04",1.1762
"2014-08-05",5.711
"2014-08-06",3.4159
"2014-08-07",2.0468
"2014-08-08",11.8913
"2014-08-09",8.7578
"2014-08-10",2.2995
"2014-08-11",1.5842
"2014-08-12",4.1375
"2014-08-13",5.205
"2014-08-14",5.0375
"2014-08-15",3.0474
"2014-08-16",1.0048
"2014-08-17",0.8307
"2014-08-18",1.8025
"2014-08-19",1.3272
"2014-08-20",0.617
"2014-08-21",0.3397
"2014-08-22",0.1689
"2014-08-23",0.3712
"2014-08-24",1.0397
"2014-08-25",1.4799
"2014-08-26",3.5076
"2014-08-27",5.9806
"2014-08-28",5.8862
"2014-08-29",5.6237
"2014-08-30",3.4449
"2014-08-31",1.3336
"2014-09-01",1.0233
"2014-09-02",1.806
"2014-09-03",2.9913
"2014-09-04",4.6816
"2014-09-05",6.7331
"2014-09-06",2.0454
"2014-09-07",0.9474
"2014-09-08",1.4526
"2014-09-09",2.303
"2014-09-10",1.9195
"2014-09-11",6.8134
"2014-09-12",8.7171
"2014-09-13",4.2323
"2014-09-14",4.2772
"2014-09-15",6.0917
"2014-09-16",5.2507
"2014-09-17",3.3994
"2014-09-18",3.6732
"2014-09-19",3.8037
"2014-09-20",3.4267
"2014-09-21",10.4648
"2014-09-22",7.8727
"2014-09-23",2.0776
"2014-09-24",2.5571
"2014-09-25",2.2498
"2014-09-26",3.9718
"2014-09-27",6.5903
"2014-09-28",7.5671
"2014-09-29",3.5643
"2014-09-30",3.0524
"2014-10-01",2.6571
"2014-10-02",4.9971
"2014-10-03",6.846
"2014-10-04",1.8193
"2014-10-05",3.9937
"2014-10-06",7.3308
"2014-10-07",10.1044
"2014-10-08",8.9785
"2014-10-09",6.3288
"2014-10-10",4.6718
"2014-10-11",12.4181
"2014-10-12",6.5426
"2014-10-13",4.2808
"2014-10-14",3.2498
"2014-10-15",3.8374
"2014-10-16",5.4329
"2014-10-17",1.5769
"2014-10-18",1.7972
"2014-10-19",5.2267
"2014-10-20",7.9404
"2014-10-21",7.9673
"2014-10-22",5.1208
"2014-10-23",3.4817
"2014-10-24",2.9818
"2014-10-25",12.0146
"2014-10-26",5.02
"2014-10-27",3.3438
"2014-10-28",6.2723
"2014-10-29",3.644
"2014-10-30",3.8534
"2014-10-31",7.7841
"2014-11-01",7.7271
"2014-11-02",8.3196
"2014-11-03",3.3254
"2014-11-04",3.4706
"2014-11-05",8.1771
"2014-11-06",13.8122
"2014-11-07",6.8257
"2014-11-08",2.4903
"2014-11-09",4.2642
"2014-11-10",8.9137
"2014-11-11",4.769
"2014-11-12",3.8999
"2014-11-13",5.8322
"2014-11-14",25.3499
"2014-11-15",12.0252
"2014-11-16",5.022
"2014-11-17",4.2141
"2014-11-18",2.1988
"2014-11-19",1.8255
"2014-11-20",5.1322
"2014-11-21",9.5607
"2014-11-22",4.1735
"2014-11-23",8.5774
"2014-11-24",8.3649
"2014-11-25",6.13
"2014-11-26",9.0856
"2014-11-27",6.7851
"2014-11-28",11.328
"2014-11-29",8.857
"2014-11-30",5.0177
"2014-12-01",5.4954
"2014-12-02",7.601
"2014-12-03",9.9053
"2014-12-04",14.4632
"2014-12-05",7.0529
"2014-12-06",2.9248
"2014-12-07",3.8773
"2014-12-08",8.6526
"2014-12-09",13.0856
"2014-12-10",6.9735
"2014-12-11",4.6683
"2014-12-12",6.4347
"2014-12-13",3.2955
"2014-12-14",7.3238
"2014-12-15",9.5897
"2014-12-16",6.7354
"2014-12-17",5.823
"2014-12-18",7.3517
"2014-12-19",5.6097
"2014-12-20",6.2677
"2014-12-21",5.5358
"2014-12-22",8.7974
"2014-12-23",9.1733
"2014-12-24",8.4698
"2014-12-25",5.5502
"2014-12-26",13.9331
"2014-12-27",12.6592
"2014-12-28",13.0707
"2014-12-29",9.486
"2014-12-30",7.6601
"2014-12-31",8.4902
"2015-01-01",7.8806
"2015-01-02",8.6561
"2015-01-03",9.3882
"2015-01-04",11.5084
"2015-01-05",8.1899
"2015-01-06",5.1885
"2015-01-07",5.2802
"2015-01-08",6.3505
"2015-01-09",8.2634
"2015-01-10",7.9969
"2015-01-11",9.447
"2015-01-12",8.0129
"2015-01-13",11.5089
"2015-01-14",7.978
"2015-01-15",8.2674
"2015-01-16",8.1052
"2015-01-17",8.1368
"2015-01-18",14.683
"2015-01-19",9.8747
"2015-01-20",12.2276
"2015-01-21",16.5805
"2015-01-22",13.4658
"2015-01-23",9.4969
"2015-01-24",7.2788
"2015-01-25",8.0738
"2015-01-26",11.8367
"2015-01-27",14.3089
"2015-01-28",12.12
"2015-01-29",7.7847
"2015-01-30",14.8595
"2015-01-31",13.7571
"2015-02-01",11.6385
"2015-02-02",7.6078
"2015-02-03",7.3209
"2015-02-04",4.9287
"2015-02-05",6.1692
"2015-02-06",6.5389
"2015-02-07",9.8566
"2015-02-08",16.8478
"2015-02-09",11.4707
"2015-02-10",9.5609
"2015-02-11",10.2059
"2015-02-12",9.726
"2015-02-13",12.7171
"2015-02-14",12.8323
"2015-02-15",10.3983
"2015-02-16",5.6123
"2015-02-17",9.3078
"2015-02-18",8.7099
"2015-02-19",4.8593
"2015-02-20",9.9579
"2015-02-21",17.7935
"2015-02-22",6.7608
"2015-02-23",6.5829
"2015-02-24",15.8541
"2015-02-25",11.8735
"2015-02-26",8.3369
"2015-02-27",7.0683
"2015-02-28",8.3383
"2015-03-01",7.5313
"2015-03-02",12.2401
"2015-03-03",8.8854
"2015-03-04",8.7963
"2015-03-05",13.7115
"2015-03-06",13.5556
"2015-03-07",12.5545
"2015-03-08",7.9818
"2015-03-09",7.8855
"2015-03-10",9.4505
"2015-03-11",8.1107
"2015-03-12",9.0624
"2015-03-13",8.1032
"2015-03-14",10.3333
"2015-03-15",12.7278
"2015-03-16",12.2098
"2015-03-17",6.8657
"2015-03-18",16.3558
"2015-03-19",14.4987
"2015-03-20",10.7025
"2015-03-21",9.8624
"2015-03-22",11.5677
"2015-03-23",7.336
"2015-03-24",8.2689
"2015-03-25",7.8396
"2015-03-26",6.2319
"2015-03-27",6.2589
"2015-03-28",11.693
"2015-03-29",11.8781
"2015-03-30",4.7152
"2015-03-31",6.9273
"2015-04-01",12.4508
"2015-04-02",12.1533
"2015-04-03",4.0122
"2015-04-04",5.644
"2015-04-05",11.1787
"2015-04-06",13.6715
"2015-04-07",12.9113
"2015-04-08",3.6791
"2015-04-09",8.3895
"2015-04-10",12.9841
"2015-04-11",10.2311
"2015-04-12",5.9786
"2015-04-13",5.273
"2015-04-14",4.667
"2015-04-15",6.138
"2015-04-16",6.3378
"2015-04-17",10.0047
"2015-04-18",7.8352
"2015-04-19",6.6593
"2015-04-20",5.3343
"2015-04-21",13.3274
"2015-04-22",6.9751
"2015-04-23",9.6795
"2015-04-24",7.1835
"2015-04-25",8.4836
"2015-04-26",9.3704
"2015-04-27",6.6289
"2015-04-28",9.5365
"2015-04-29",10.4708
