date,prec,tmin,tmax,tmean,dewmean,sst
2014-01-01,12.7741,15.9224,23.7535,19.3341,16.1681,20.4245
2014-01-02,6.5437,15.613,24.43,19.4051,16.2823,20.655
2014-01-03,9.3538,15.989,24.1155,19.4542,16.39,20.6832
2014-01-04,17.4176,16.8189,22.5301,18.9587,16.9359,20.781
2014-01-05,13.3024,16.3597,22.3466,18.7013,16.5964,20.8283
2014-01-06,9.9326,16.5971,23.4786,19.107,16.9881,20.8142
2014-01-07,10.7721,16.0291,22.7202,18.8212,16.852,20.9787
2014-01-08,12.0766,16.2097,22.5173,18.6786,16.6941,21.1849
2014-01-09,12.046,16.0078,22.7498,18.6036,16.3613,21.3128
2014-01-10,10.0961,15.8745,23.1528,18.8017,16.5245,21.3056
2014-01-11,10.115,16.2026,23.4353,19.2739,16.4694,21.3178
2014-01-12,6.1822,16.1617,23.7401,19.3681,16.2786,21.5425
2014-01-13,8.5508,16.0698,23.2659,19.0394,16.4365,21.618
2014-01-14,5.8835,16.402,24.1524,19.5431,16.7061,21.7054
2014-01-15,7.7393,16.6082,23.9619,19.5438,16.8342,21.8799
2014-01-16,10.9418,16.1837,23.4401,19.0325,16.7609,22.2499
2014-01-17,12.8469,16.5023,22.8533,18.9786,16.8948,22.474
2014-01-18,8.9011,16.206,23.4991,19.044,16.6619,22.5259
2014-01-19,7.9832,16.0232,23.4453,18.9494,16.3203,22.4844
2014-01-20,9.608,16.2079,23.7153,19.1412,16.74,22.3279
2014-01-21,4.7205,16.1393,25.1496,19.8537,16.7603,22.2231
2014-01-22,6.7328,16.1977,24.6327,19.9192,16.9037,22.2502
2014-01-23,13.2725,16.6879,23.216,19.4481,17.0252,22.5112
2014-01-24,5.2914,16.1869,24.936,19.7325,16.4964,22.4571
2014-01-25,3.3419,16.1379,25.1305,19.9833,16.1156,22.1212
2014-01-26,12.2943,15.6403,24.3538,19.6947,15.9113,21.6488
2014-01-27,13.019,15.5398,23.1551,19.0268,15.9443,21.5195
2014-01-28,5.8522,15.3336,24.0807,19.0379,15.8641,21.2432
2014-01-29,8.7056,15.4933,24.1154,19.2193,16.2807,21.0586
2014-01-30,11.3915,16.0571,23.5337,19.0969,16.4986,21.1302
2014-01-31,12.7545,16.2421,22.9878,18.9863,16.6507,20.9768
2014-02-01,11.6745,16.1873,22.846,18.7208,16.5725,20.5393
2014-02-02,5.6851,15.7763,23.6422,18.8991,16.224,20.4191
2014-02-03,4.7907,15.8569,24.4394,19.4087,15.982,20.5958
2014-02-04,11.3446,15.4768,24.009,19.2593,15.8385,20.6931
2014-02-05,18.7221,15.2804,21.9408,18.2288,15.9133,20.411
2014-02-06,9.313,15.3533,23.1529,18.259,15.9584,20.014
2014-02-07,7.5638,15.3214,23.6746,18.9061,16.074,19.9631
2014-02-08,6.9829,16.0497,23.125,18.9587,16.2555,19.9443
2014-02-09,10.2023,15.9144,23.5586,19.004,16.2393,20.1723
2014-02-10,10.9942,15.9631,23.3155,18.8916,16.1685,19.9604
2014-02-11,9.1405,16.0485,23.6362,19.166,16.5115,19.7817
2014-02-12,9.4755,16.101,23.4581,19.0176,16.3365,19.8417
2014-02-13,9.6974,15.8882,23.8756,19.0249,16.2473,19.9111
2014-02-14,10.5746,15.8871,23.6849,19.0625,16.3081,20.0509
2014-02-15,10.8658,15.9427,22.9672,18.737,16.4575,20.0186
2014-02-16,6.9308,15.8399,23.3753,18.9613,16.2733,19.9482
2014-02-17,4.8925,15.8031,24.4425,19.4157,16.1109,19.9536
2014-02-18,7.9267,16.2047,24.418,19.572,16.5736,20.2116
2014-02-19,8.2963,16.0467,24.881,19.7094,16.5953,20.1848
2014-02-20,7.3992,16.3176,24.2673,19.6149,16.7248,19.9188
2014-02-21,11.8903,16.4361,23.8031,19.3265,16.7783,19.7824
2014-02-22,11.9443,16.0109,23.6574,19.1698,16.5952,19.8539
2014-02-23,10.5571,16.4587,23.5792,19.298,16.9947,20.1766
2014-02-24,12.37,16.1958,22.7685,18.8272,16.7569,20.3452
2014-02-25,8.8948,16.2185,24.1368,19.3283,16.7257,20.4768
2014-02-26,8.5926,16.2019,24.6154,19.5573,16.6802,20.5701
2014-02-27,9.1506,16.1267,24.7169,19.701,16.9916,20.8247
2014-02-28,8.1654,16.1856,24.6095,19.732,16.7581,21.1743
2014-03-01,10.6156,16.0678,23.9054,19.3696,16.7711,21.2836
2014-03-02,5.739,16.431,25.2078,19.9242,16.8238,21.0997
2014-03-03,10.1674,16.5224,24.1673,19.8688,16.7908,20.6635
2014-03-04,12.8531,16.2563,23.21,19.0026,16.5363,20.5312
2014-03-05,13.8542,15.9387,22.2398,18.546,16.4214,20.4505
2014-03-06,9.9221,15.7703,23.8285,18.9192,16.5336,20.2652
2014-03-07,6.4843,15.9978,24.6208,19.4968,16.5239,19.957
2014-03-08,11.9148,16.2019,23.4746,19.1239,16.695,19.9632
2014-03-09,10.4914,15.7503,22.7234,18.6583,16.5079,20.3611
2014-03-10,4.6072,15.7281,24.8821,19.4725,16.4755,20.7649
2014-03-11,6.1538,15.7999,25.3596,19.7934,16.6127,20.6757
2014-03-12,10.5842,16.4,23.0633,19.2023,16.7075,20.3571
2014-03-13,14.5714,16.2533,22.6633,18.7873,16.7782,20.1618
2014-03-14,7.4163,15.9546,23.9617,19.0576,16.6395,19.7231
2014-03-15,5.6233,16.0315,24.5887,19.5245,16.6326,19.523
2014-03-16,14.3222,15.8653,22.6457,18.7311,16.6569,19.1818
2014-03-17,10.6454,15.9243,23.542,18.9016,16.7245,19.2396
2014-03-18,15.6551,16.302,22.6649,18.7886,16.7623,19.6034
2014-03-19,8.5129,15.992,23.2595,18.7939,16.4111,19.8466
2014-03-20,4.7538,15.7983,24.2188,19.1098,16.3437,19.708
2014-03-21,10.8334,15.8144,23.2615,19.0659,16.3986,19.7519
2014-03-22,11.784,16.1095,22.3159,18.643,16.4387,19.7068
2014-03-23,11.9843,15.9307,22.4494,18.5657,16.2952,19.7859
2014-03-24,5.084,15.7406,24.6746,19.3453,16.2742,19.7401
2014-03-25,9.0928,16.1346,23.4636,19.2317,16.4844,19.7174
2014-03-26,11.4468,16.1019,23.3548,19.0245,16.6441,19.5867
2014-03-27,10.908,15.9806,22.634,18.4718,16.3699,19.7267
2014-03-28,3.6751,15.5597,24.2354,18.9514,15.9546,19.9108
2014-03-29,2.0294,14.5283,24.7523,19.1848,15.054,19.7449
2014-03-30,5.0027,14.8328,25.0946,19.3465,15.1014,19.6292
2014-03-31,8.4335,14.8614,24.2817,19.1193,15.4572,19.536
2014-04-01,6.6762,15.3133,23.7004,18.8795,15.9834,19.3664
2014-04-02,8.5308,15.4509,23.6091,18.8926,16.1547,19.1317
2014-04-03,7.4191,15.5598,23.4391,18.9191,16.2478,18.7931
2014-04-04,6.4995,15.6585,24.2871,19.1667,16.3345,18.835
2014-04-05,6.9671,15.9936,23.2474,19.0574,16.3206,19.1138
2014-04-06,4.1971,15.4078,24.5643,19.207,16.046,19.2226
2014-04-07,6.6657,15.646,24.3949,19.3861,16.3562,19.1957
2014-04-08,6.1088,15.7347,24.1937,19.2825,16.5118,19.2665
2014-04-09,5.3755,15.5794,24.5803,19.216,16.2361,19.4068
2014-04-10,7.9218,15.5951,23.2739,18.9349,16.3785,19.0725
2014-04-11,3.8384,15.1269,24.3419,19.0233,15.8736,18.7661
2014-04-12,4.3102,15.0988,24.3469,19.1905,15.784,18.665
2014-04-13,6.0299,15.8736,24.0312,19.2012,16.0304,18.5919
2014-04-14,10.7968,15.5798,22.575,18.5224,15.6922,18.5887
2014-04-15,4.2481,14.7132,22.99,18.291,15.2126,19.1954
2014-04-16,2.846,14.7751,24.2544,18.8963,15.3718,19.5798
2014-04-17,3.8277,14.9756,24.9296,19.3492,15.8884,19.7831
2014-04-18,6.011,15.6954,23.8997,19.1992,16.1435,19.8956
2014-04-19,4.3116,15.5161,24.4673,19.1691,16.0059,19.9036
2014-04-20,5.7481,15.4479,23.8873,18.9822,16.1395,19.4578
2014-04-21,5.6128,15.263,23.9914,18.9735,16.0174,19.4227
2014-04-22,6.5438,14.775,24.0554,18.7922,15.549,19.663
2014-04-23,6.9589,15.2051,24.2853,19.0461,15.7724,19.7771
2014-04-24,12.278,15.706,22.575,18.7833,16.0784,20.0619
2014-04-25,8.9705,15.4909,23.2731,18.7402,15.8455,20.3384
2014-04-26,7.8154,15.2368,23.1903,18.7727,15.5767,20.3394
2014-04-27,4.3923,14.8582,23.8967,18.8401,15.0607,20.255
2014-04-28,4.9039,14.8499,24.2346,19.1654,15.3171,20.0334
2014-04-29,10.4227,15.4572,22.7078,18.6585,15.874,19.6897
2014-04-30,3.2422,15.5017,24.2869,19.0686,15.9491,19.4732
2014-05-01,1.9466,15.1925,24.9539,19.5841,15.599,19.3734
2014-05-02,5.6113,15.131,25.0537,19.6326,15.787,19.6034
2014-05-03,11.3658,15.7611,22.9011,18.9189,16.0712,19.8205
2014-05-04,4.9033,15.6564,24.342,19.09,15.9757,19.9763
2014-05-05,2.6534,15.4942,25.2652,19.6266,15.923,19.9577
2014-05-06,5.225,15.115,25.0789,19.5473,15.7534,20.1377
2014-05-07,8.8642,15.1262,23.7786,18.9794,15.6542,20.4113
2014-05-08,8.8156,15.5413,22.2942,18.4458,15.4666,20.5948
2014-05-09,5.3662,15.1067,23.6345,18.7106,15.3775,20.7243
2014-05-10,4.9965,15.1552,23.5906,18.7175,15.0066,20.7724
2014-05-11,6.0363,15.5773,23.2748,18.7825,15.4173,21.1417
2014-05-12,7.6929,15.5018,22.6693,18.5664,15.6192,21.1571
2014-05-13,3.3022,14.909,23.6036,18.6356,15.3733,20.942
2014-05-14,6.6754,15.0435,23.3938,18.7111,15.4043,20.6268
2014-05-15,6.1971,15.6259,24.1346,19.1796,15.6833,20.5948
2014-05-16,9.804,15.4848,23.8019,19.1903,15.6035,20.6461
2014-05-17,7.4736,15.124,23.3215,18.7584,14.9381,20.5653
2014-05-18,5.9627,15.3703,23.6193,18.7542,15.3207,20.51
2014-05-19,3.394,15.2305,24.0236,19.1319,15.4059,20.7046
2014-05-20,4.698,15.271,23.5532,19.0548,15.4883,20.9123
2014-05-21,2.3567,15.0876,24.4131,19.1644,15.5186,21.0832
2014-05-22,3.9065,15.9794,23.4598,19.268,15.7826,21.2923
