,epi_week,year,total_cases,end_date,month
0,1,2014,148.0,2014-01-04,1
1,2,2014,529.0,2014-01-11,1
2,3,2014,554.0,2014-01-18,1
3,4,2014,800.0,2014-01-25,1
4,5,2014,631.0,2014-02-01,2
5,6,2014,796.0,2014-02-08,2
6,7,2014,623.0,2014-02-15,2
7,8,2014,761.0,2014-02-22,2
8,9,2014,659.0,2014-03-01,3
9,10,2014,660.0,2014-03-08,3
10,11,2014,416.0,2014-03-15,3
11,12,2014,279.0,2014-03-22,3
12,13,2014,431.0,2014-03-29,3
13,14,2014,414.0,2014-04-05,4
14,15,2014,472.0,2014-04-12,4
15,16,2014,193.0,2014-04-19,4
16,17,2014,353.0,2014-04-26,4
17,18,2014,134.0,2014-05-03,5
18,19,2014,268.0,2014-05-10,5
19,20,2014,272.0,2014-05-17,5
20,21,2014,321.0,2014-05-24,5
21,22,2014,212.0,2014-05-31,5
22,23,2014,159.0,2014-06-07,6
23,24,2014,530.0,2014-06-14,6
24,25,2014,476.0,2014-06-21,6
25,26,2014,377.0,2014-06-28,6
26,27,2014,252.0,2014-07-05,7
27,28,2014,349.0,2014-07-12,7
28,29,2014,394.0,2014-07-19,7
29,30,2014,130.0,2014-07-26,7
30,31,2014,310.0,2014-08-02,8
31,32,2014,132.0,2014-08-09,8
32,33,2014,190.0,2014-08-16,8
33,34,2014,377.0,2014-08-23,8
34,35,2014,148.0,2014-08-30,8
35,36,2014,313.0,2014-09-06,9
36,37,2014,285.0,2014-09-13,9
37,38,2014,49.0,2014-09-20,9
38,39,2014,358.0,2014-09-27,9
39,40,2014,274.0,2014-10-04,10
40,41,2014,403.0,2014-10-11,10
41,42,2014,164.0,2014-10-18,10
42,43,2014,248.0,2014-10-25,10
43,44,2014,435.0,2014-11-01,11
44,45,2014,524.0,2014-11-08,11
45,46,2014,259.0,2014-11-15,11
46,47,2014,475.0,2014-11-22,11
47,48,2014,259.0,2014-11-29,11
48,49,2014,476.0,2014-12-06,12
49,50,2014,473.0,2014-12-13,12
50,51,2014,83.0,2014-12-20,12
51,52,2014,190.0,2014-12-27,12
52,53,2014,,2014-12-31,12
53,1,2015,180.0,2015-01-10,1
